iter	Passed	Remaining
0	2	1077
1	5	1126
2	8	1066
3	10	998
4	12	959
5	15	994
6	17	965
7	19	945
8	21	925
9	24	941
10	26	928
11	28	914
12	30	915
13	33	911
14	35	904
15	37	903
16	39	896
17	41	885
18	44	892
19	46	892
20	49	885
21	51	878
22	53	880
23	55	877
24	57	869
25	60	870
26	62	869
27	65	865
28	67	857
29	69	853
30	71	848
31	73	843
32	75	843
33	78	842
34	80	834
35	82	833
36	84	829
37	86	822
38	88	816
39	89	809
40	92	808
41	94	803
42	96	797
43	97	791
44	99	787
45	102	785
46	104	782
47	105	776
48	108	773
49	109	769
50	111	765
51	113	762
52	115	757
53	117	753
54	119	748
55	121	746
56	123	742
57	125	739
58	127	736
59	129	732
60	131	730
61	133	726
62	135	723
63	137	720
64	139	717
65	141	714
66	143	710
67	144	707
68	146	703
69	148	700
70	150	697
71	152	695
72	154	692
73	156	689
74	158	685
75	160	684
76	162	680
77	164	677
78	165	674
79	167	670
80	169	669
81	172	668
82	174	664
83	175	661
84	177	658
85	180	657
86	181	654
87	183	651
88	185	648
89	187	645
90	189	644
91	191	641
92	193	638
93	195	635
94	197	632
95	199	630
96	201	628
97	202	625
98	204	622
99	206	619
100	208	617
101	210	614
102	212	611
103	214	609
104	215	606
105	217	604
106	219	601
107	221	599
108	223	596
109	225	593
110	226	590
111	228	588
112	230	586
113	232	583
114	234	580
115	236	578
116	238	576
117	240	573
118	241	570
119	243	568
120	245	566
121	247	564
122	249	562
123	251	560
124	253	558
125	255	555
126	257	553
127	259	551
128	261	548
129	263	546
130	265	544
131	266	541
132	268	539
133	270	537
134	272	535
135	274	532
136	276	530
137	278	528
138	280	526
139	282	523
140	283	521
141	286	519
142	288	517
143	289	515
144	291	513
145	293	510
146	295	509
147	297	506
148	299	504
149	301	501
150	303	499
151	304	497
152	306	495
153	308	492
154	310	490
155	312	488
156	314	486
157	315	483
158	318	482
159	319	479
160	321	477
161	323	475
162	325	473
163	327	471
164	329	469
165	331	467
166	333	465
167	335	463
168	337	460
169	339	458
170	340	456
171	342	454
172	344	452
173	346	450
174	348	448
175	350	445
176	352	443
177	353	441
178	355	439
179	357	437
180	359	435
181	361	432
182	363	430
183	365	428
184	366	426
185	368	424
186	370	422
187	372	420
188	374	418
189	376	416
190	378	414
191	380	411
192	382	409
193	384	408
194	386	406
195	388	403
196	389	401
197	391	399
198	393	397
199	395	395
200	397	393
201	399	391
202	401	389
203	403	387
204	404	385
205	406	383
206	408	380
207	410	378
208	412	376
209	414	374
210	415	372
211	417	370
212	419	368
213	421	366
214	423	364
215	425	362
216	427	360
217	429	358
218	430	356
219	432	354
220	434	352
221	436	350
222	438	348
223	440	346
224	442	344
225	444	342
226	446	340
227	448	338
228	449	335
229	451	333
230	453	331
231	455	329
232	457	327
233	459	325
234	461	323
235	463	321
236	465	319
237	466	317
238	468	315
239	470	313
240	472	311
241	474	309
242	476	307
243	478	305
244	479	303
245	481	301
246	483	299
247	485	297
248	487	295
249	489	293
250	491	291
251	493	289
252	495	287
253	497	285
254	498	283
255	500	281
256	502	279
257	504	277
258	506	275
259	508	273
260	510	271
261	511	269
262	514	267
263	515	265
264	517	263
265	519	261
266	521	259
267	523	257
268	525	255
269	526	253
270	528	251
271	530	249
272	532	247
273	534	245
274	536	243
275	538	241
276	540	239
277	542	237
278	543	235
279	545	233
280	547	231
281	549	229
282	551	227
283	553	225
284	555	223
285	556	221
286	558	220
287	561	218
288	562	216
289	564	214
290	566	212
291	568	210
292	570	208
293	573	206
294	574	204
295	576	202
296	578	200
297	580	198
298	582	196
299	584	194
300	586	192
301	588	190
302	589	188
303	591	186
304	593	184
305	595	182
306	597	181
307	599	179
308	601	177
309	603	175
310	605	173
311	607	171
312	608	169
313	610	167
314	612	165
315	614	163
316	616	161
317	618	159
318	620	157
319	622	155
320	624	153
321	626	151
322	627	149
323	629	147
324	631	145
325	633	143
326	635	141
327	637	139
328	639	138
329	641	136
330	643	134
331	644	132
332	646	130
333	648	128
334	650	126
335	652	124
336	654	122
337	656	120
338	657	118
339	659	116
340	661	114
341	663	112
342	665	110
343	667	108
344	669	106
345	670	104
346	672	102
347	674	100
348	676	98
349	678	96
350	680	94
351	682	93
352	684	91
353	686	89
354	688	87
355	689	85
356	691	83
357	693	81
358	695	79
359	697	77
360	699	75
361	701	73
362	702	71
363	704	69
364	706	67
365	708	65
366	710	63
367	712	61
368	714	60
369	716	58
370	717	56
371	719	54
372	721	52
373	723	50
374	725	48
375	727	46
376	729	44
377	731	42
378	732	40
379	735	38
380	736	36
381	738	34
382	740	32
383	742	30
384	744	29
385	746	27
386	748	25
387	750	23
388	751	21
389	753	19
390	755	17
391	757	15
392	759	13
393	761	11
394	763	9
395	765	7
396	767	5
397	769	3
398	771	1
399	773	0
